STATEFIP,headcount,income_censored_hc,fam_emp_censored_hc,health_censored_hc,education_censored_hc,overcrowd_censored_hc,computer_internet_censored_hc,disability_censored_hc,lang_dep_censored_hc,hcost_dep_censored_hc,mpi_poor_hc,n,income_per,fam_emp_per,health_per,education_per,overcrowd_per,computer_internet_per,disability_per,lang_dep_per,hcost_dep_per,intensity,adj_hc,per_contrib_income,per_contrib_fam_emp,per_contrib_health,per_contrib_education,per_contrib_overcrowd,per_contrib_computer_internet,per_contrib_disability,per_contrib_lang_dep,per_contrib_hcost_dep,State,Medicaid_Expansion,per_contrib_econ,per_contrib_health_dim,per_contrib_housing,per_contrib_social
1,0.1813520906346786,584250,390815,291507,449532,120252,488014,189106,41236,387460,881186,4858979,0.2082814105597081,0.11287988690628216,0.1073643248921224,0.11618016871445627,0.031048086439558597,0.21280725847961063,0.07201698134525793,0.013628171679688264,0.1488716045078606,0.3409318973374071,0.06182871234618639,0.19447487322874366,0.13008762957790576,0.09703172763421715,0.29926462545918214,0.040027372623881695,0.16244152466213455,0.0629462822024729,0.013725915057698712,0.12897087613386224,Alabama,0,0.32456250280664944,0.15997800983669005,0.16899824875774394,0.17616743971983326
2,0.11798919873461605,48780,26856,35475,38741,23231,30384,17618,8125,41112,87127,738432,0.12106192581036575,0.0577751235049402,0.1455381131911943,0.07364794591783672,0.07365877968452071,0.09624176633732016,0.05214698171260184,0.024317743543075056,0.1550379723522274,0.30754089437025534,0.03628650370487362,0.18204810497303958,0.10022722236892068,0.13239353267565765,0.2891646426716083,0.08669863728226081,0.11339380117877891,0.06575078953290307,0.030322690711479017,0.15343094898834775,Alaska,NA,0.28227532734196026,0.1981443222085607,0.24012958627060854,0.14371649189025792
4,0.16809139924707805,776472,410668,388739,557198,209318,515535,170007,184073,576234,1147739,6828065,0.1908446975826973,0.09489877439655305,0.11605381612506618,0.11214289846391327,0.042391951453303385,0.14583765678856309,0.050509331706713394,0.04096533937506453,0.1782459598729655,0.32840290155217866,0.055201703238706136,0.20600401020071524,0.10895338770890298,0.10313545487978425,0.2956578536658582,0.05553367978136148,0.1367754116037999,0.045104168292215294,0.048835986577334733,0.15287932444956023,Arizona,1,0.3149573979096182,0.14823962317199954,0.2084130042309217,0.18561139818113465
5,0.1804134303761596,367774,236897,150439,259892,87996,282677,119075,41065,232628,537308,2978204,0.21788601452418974,0.11737980339828971,0.09862957675162615,0.11343245795116788,0.03889491787668004,0.2148556646891885,0.07293187437798082,0.022738872152478475,0.1454238863422385,0.3360655611723419,0.0606307407223913,0.20367311550603945,0.131193477635815,0.08331306678452818,0.2878562015536476,0.048732154725645224,0.15654642598960425,0.06594369430378887,0.02274178296523275,0.12882930689482927,Arkansas,1,0.3348665931418544,0.14925676108831704,0.17756146162047448,0.179288208954837
6,0.17692252394684782,3980909,2028804,1840783,3782363,1418254,2744499,1110217,2058085,3937588,6925600,39144818,0.16793589383912833,0.07193623942765554,0.087227688732644,0.13114458726056666,0.05887185374064072,0.12207973479401539,0.050061849821348,0.08887641270933996,0.24226238579011913,0.3284376406703013,0.05810801634653758,0.17501364982061796,0.08919279310596373,0.08092678113409439,0.3325698495376116,0.06235103814548151,0.12065706272588397,0.0488087342018863,0.09048008067782169,0.17310911838724957,California,1,0.2642064429265817,0.12973551533598068,0.23546015653273109,0.21113714340370565
8,0.11204796269600668,386948,234622,186560,269585,117757,252544,110531,104287,321455,611398,5456574,0.13236932184920427,0.06882120539371407,0.08160505108150279,0.070979885913762,0.029526219199079863,0.1027785933078155,0.041626485776606346,0.031127956846182237,0.17216260606013956,0.3160656678894282,0.035414514165163086,0.20024019921462452,0.12141361635189646,0.09654220093004834,0.2790129635262338,0.060937606962476965,0.13068800167065894,0.05719825263185664,0.05396706962045429,0.1663484841336229,Colorado,1,0.32165381556652095,0.15374045356190497,0.22728609109609987,0.18465507129111325
9,0.1293279708684709,287710,219811,97946,206365,94549,181906,108098,98624,255503,464402,3590886,0.128515915013732,0.0844320872341812,0.060193500991120294,0.07944167539710255,0.03789092719735464,0.0994612471685261,0.053069353914326434,0.04817668954124414,0.1909985446488694,0.3232919304823288,0.041810689367430334,0.19163110817074044,0.14640653963407121,0.06523756741472785,0.2749014885659508,0.06297497357212241,0.12115966898233191,0.07199937274005318,0.06568915370418514,0.17017942730857008,Connecticut,1,0.33803764780481166,0.13723694015478102,0.2331544008806925,0.18684882268651704
10,0.13487727473586952,87025,56225,29531,56878,25233,58716,22977,16330,64777,127585,945934,0.15637031759086786,0.08663817983072815,0.062105812879122646,0.0859076848913349,0.03332156366088966,0.1362092915573391,0.045865779219268994,0.02335892356126326,0.17444557442696848,0.32119228314110154,0.04332153981626355,0.2123632247358429,0.13720335892873045,0.07206318172564409,0.27759369138811313,0.061574964088015216,0.14328203508864987,0.05606974794318256,0.039849370410069695,0.15807242296712087,Delaware,1,0.3495665836645734,0.12813292966882667,0.2196473870551361,0.18313140549871956
11,0.16353528862231267,78750,54128,12214,42070,28922,54955,17990,15685,58615,109933,672228,0.20581409878791124,0.10112491595113562,0.03721058926435673,0.07705718892994638,0.07353011180730347,0.14437958549777755,0.04365780657753024,0.03256633166128159,0.24784894410824898,0.3154505451947496,0.051587295954489264,0.2270864391577058,0.15608552099972445,0.035220746258694834,0.2426292443267221,0.08340055864532275,0.15847028906554567,0.05187663543424923,0.04522985140556972,0.16902440166639904,District of Columbia,1,0.38317196015743027,0.08709738169294406,0.2524249603117218,0.2037001404711154
12,0.17291401348667218,2214396,1371832,1335522,1585516,483911,1514574,598480,782015,1999820,3505187,20271272,0.17309865902840235,0.1050687396429785,0.13833512766243775,0.10197026609874309,0.0312941881496139,0.1424423686880626,0.05691068621643477,0.06503908585509582,0.21078677253208383,0.32727960621749347,0.05659123024340443,0.1930301517161703,0.11958337130716337,0.11641820807131298,0.27642065288088985,0.04218279555559335,0.1320262721777708,0.052169840082394295,0.06816868983430285,0.17432544043840023,Florida,0,0.3126135230233337,0.16858804815370726,0.21650823599399358,0.20019496201207365
