age,YEAR,headcount,inc_inc,inc_emp,inc_health,inc_dis,se_headcount,se_inc_inc,se_inc_emp,se_inc_health,se_inc_dis,inc_edu,inc_crowd,inc_house,inc_int,inc_lng,se_inc_edu,se_inc_crowd,se_inc_house,se_inc_int,se_inc_lng,intensity,int_se,adj_hc,mpi_poor,cen_inc,cen_emp,cen_health,cen_disability,se.mpi_poor,se_cen_inc,se_cen_emp,se_cen_health,se_cen_disability,cen_edu,cen_crowd,cen_house,cen_int,cen_lng,se_cen_edu,se_cen_crowd,se_cen_house,se_cen_int,se_cen_lng,per_con_inc,per_con_emp,per_con_hlth,per_con_dis,per_con_edu,per_con_crowd,per_con_hcost,per_con_int,per_con_lng,per_con_dim_edu,per_con_dim_inc,per_con_dim_hlth
18 to 64,2013,0.15555666035881482,0.14324120503331889,0.09623505309206601,0.20682546925965586,0.04177671748095993,3.502813681109741e-4,3.432230669466792e-4,2.6650788457433216e-4,3.9750863353739597e-4,1.8175879507701637e-4,0.12922160022202842,0.04415178237538253,0.18493488715369222,0.14434425488604602,0.04347521947112628,3.220207327293421e-4,1.5873055568186583e-4,3.824714662474753e-4,3.4658305002547814e-4,2.0487884096814338e-4,0.4075794698235726,2.4171941860392832e-4,0.0634017011565713,0.15555666035881482,0.10094426126902946,0.07061988700219991,0.08873640134324724,0.020777338473113378,3.502813681109741e-4,2.9708936620182223e-4,2.3556927150460825e-4,2.8043512562775705e-4,1.3004494597155383e-4,0.07136317420856032,0.0241689374263243,0.09597631899003138,0.07067506879311412,0.02735392290352157,2.4936820936881523e-4,1.1983370192420343e-4,2.949548537107429e-4,2.5809050139362783e-4,1.6845516384948522e-4,0.17690422851894835,0.12376093966277237,0.15551002527363242,0.03641216436729614,0.12506354615229584,0.04235592173121805,0.16819793867993935,0.12385764542917502,0.047937590184722344,0.2968587817661932,0.4688631068616601,0.2342781113721466
Over 65,2013,0.19655145577019628,0.09303051216379382,0.28022459031750585,0.010428277598769534,0.18721490058698664,6.865930518119456e-4,5.147657424407957e-4,7.570226837304617e-4,2.067407721368007e-4,6.65309616552809e-4,0.18957894084476568,0.03702604783409975,0.1436806109203408,0.3252387728574343,0.04262842426034687,6.802714722033635e-4,2.636191634136431e-4,6.262666685227946e-4,8.031038299255898e-4,3.7103943899670036e-4,0.4055001243547318,3.898238113192504e-4,0.07970163975691816,0.19655145577019628,0.0795714510379065,0.1538461900141521,0.005879247619660031,0.09574954132433541,6.865930518119456e-4,4.8306990707862e-4,6.165717513017229e-4,1.5344931398329607e-4,4.9701825978967e-4,0.10230115203134703,0.027987298226143625,0.08554670574776178,0.13562167994137836,0.030811491869578666,5.270749364778221e-4,2.2483556936932819e-4,5.097274385766141e-4,6.104751625229079e-4,3.2218940687899454e-4,0.11092961656134229,0.21447514963078024,0.008196189407270993,0.13348330043614565,0.1426168232525357,0.039016760663759406,0.11925964831487712,0.18906857619242437,0.04295393554086432,0.37463933498582436,0.4446644145069997,0.18069625050717603
Under 18,2013,0.21398069378528095,0.22434507801372588,0.08091933542087924,0.07135521930082164,0.009074317371820542,6.659794272153326e-4,6.747820483020031e-4,4.403343892172326e-4,4.138850014727309e-4,1.3861817784665143e-4,0.5042038462908918,0.03119735447452809,0.21328446420437253,0.14531259904118843,0.05775572257138234,7.789476628493105e-4,2.5949018300947603e-4,6.637982207728078e-4,5.787962205544324e-4,3.837537537193372e-4,0.411627793598539,3.2448792516706366e-4,0.08808040085551981,0.21398069378528095,0.1777540758048901,0.07074633473709838,0.03395747062272113,0.004059094373393173,6.659794272153326e-4,6.251206604014877e-4,4.1637070057464956e-4,2.945363269621766e-4,9.515921079941285e-5,0.1972098790697353,0.020958355242715273,0.15316609973356096,0.09525330578781689,0.03961899232774702,6.479470422873768e-4,2.1324701156791092e-4,5.92323414181696e-4,4.8623577822689987e-4,3.248626615726621e-4,0.22423209562371438,0.0892446422056103,0.04283645685948317,0.005120440887552011,0.2487750801846283,0.026438414397083658,0.19321500993015414,0.12015954219431221,0.04997831771746174,0.41891294009640223,0.5066917477594788,0.07439531214411883
18 to 64,2014,0.1438582270834455,0.1413177239800864,0.09309177970856618,0.1671324047307068,0.04243400251222837,3.382251289552661e-4,3.413468662698926e-4,2.6159610416964037e-4,3.6874837608115993e-4,1.8204225597917312e-4,0.12596568369296515,0.0433273003023157,0.18286939011983008,0.1339350912250297,0.04370388500106147,3.176936135613008e-4,1.5596385270176573e-4,3.805344376246781e-4,3.3717950007826987e-4,2.0479641007649916e-4,0.4057788993055575,2.4749967429722963e-4,0.05837463304196946,0.1438582270834455,0.09485434854424767,0.06724417955629537,0.07319382412944238,0.020750139265990637,3.382251289552661e-4,2.892442000494068e-4,2.2913279892146753e-4,2.5674784771747525e-4,1.2896326545277522e-4,0.06658560071528496,0.023076560812094523,0.08942436454395057,0.06409145391394488,0.026151225896474117,2.4076498919565798e-4,1.1492889090253261e-4,2.854638290997856e-4,2.4654521360577324e-4,1.6400535500608155e-4,0.18054712314670135,0.1279935327539142,0.1393181712961945,0.03949611174252495,0.12673998437226833,0.043924255774104304,0.1702116139683432,0.12199258969191334,0.04977661725403574,0.2985091913182174,0.4787522698689587,0.22273853881282377
Over 65,2014,0.1876006945270195,0.09137690550729181,0.2745426859319241,0.009624910702633325,0.18440441520933587,6.65003219009779e-4,5.018081408694572e-4,7.383168158431989e-4,1.949674239299545e-4,6.531757635531099e-4,0.18037980428921221,0.03541532534428323,0.1440124136999499,0.3018639527610141,0.04299618570164928,6.575350090072584e-4,2.529707412190841e-4,6.132398480878517e-4,7.730915534073837e-4,3.6597717384422674e-4,0.4057898300818399,3.9586750139985864e-4,0.07612645395535439,0.1876006945270195,0.07788680076886242,0.14656758482814342,0.005462911727861119,0.0916068016629992,6.65003219009779e-4,4.702364880986772e-4,5.948726506025597e-4,1.4621796906454313e-4,4.833851943437926e-4,0.09592748178515491,0.026379913048444014,0.0844799559181046,0.1265575091270873,0.030269126731532554,5.065547018125161e-4,2.1573295146321442e-4,4.9743480007614e-4,5.843892241758237e-4,3.1481747959532244e-4,0.11368044253569698,0.2139241532605449,0.007973446291620888,0.1337056041528007,0.14001189512242812,0.038503060336241395,0.12330354667752225,0.1847182513822608,0.044179600240883965,0.36890974674557286,0.45090814247376415,0.18018211078066299
Under 18,2014,0.20525002961554328,0.21896035931294333,0.07617347695350124,0.060203997686055215,0.00964108737335018,6.591098960617821e-4,6.717938102950377e-4,4.2974533034676837e-4,3.862070247530038e-4,1.4453780530800493e-4,0.4944276378863093,0.030345379690859174,0.20860274315721747,0.1334618710051163,0.05739617476308314,7.836267546850814e-4,2.572121212194041e-4,6.607962116903269e-4,5.627747937002757e-4,3.848708843954628e-4,0.4097911284976662,3.3558872321007397e-4,0.08410964126033289,0.20525002961554328,0.1713659564859836,0.06691776583443702,0.02896186505887581,0.003995710324962179,6.591098960617821e-4,6.185420843123896e-4,4.0643531199764096e-4,2.7781403413644463e-4,9.479345865391502e-5,0.18976631873585267,0.02015282953826667,0.14873910990957442,0.08796112992938233,0.0391260855256614,6.420111360038762e-4,2.1119917056305868e-4,5.873060102479133e-4,4.7305285826808026e-4,3.253833567811546e-4,0.2263790636419675,0.08840017866589125,0.038259407106274235,0.005278441415658101,0.2506864398689316,0.02662243291585248,0.19648838730126195,0.11619903181838633,0.05168661726577662,0.4185720889530945,0.5112676296091208,0.07016028143778481
18 to 64,2015,0.13093944295765175,0.13436930063798733,0.08962461731806798,0.13592844539687016,0.04221421866919188,3.2611058306389155e-4,3.35338621764957e-4,2.574015921222487e-4,3.4200856700048295e-4,1.8319518270127225e-4,0.12428159942599996,0.04412256117502784,0.17671283478277344,0.12063733005249187,0.042330854393702114,3.163793498854738e-4,1.5721014576249538e-4,3.7670582781008916e-4,3.2316855856563253e-4,2.0219124305563796e-4,0.4018187242014533,2.5427879433041647e-4,0.0526139199168926,0.13093944295765175,0.08580555422857258,0.06352287009932742,0.060008965353394506,0.019771004294938443,3.2611058306389155e-4,2.7731271918718744e-4,2.2444089686074465e-4,2.3529888505505902e-4,1.2741959039002767e-4,0.061393915911707723,0.022503965269911982,0.08103607934742427,0.05563388668573079,0.023849038061025653,2.3142062205766946e-4,1.1395288331522036e-4,2.7432961646360073e-4,2.3223265524113768e-4,1.5743402124884876e-4,0.18120585740239362,0.13414884670923224,0.12672811354059682,0.04175279580884919,0.12965287937464237,0.047524316559104475,0.17113358652240587,0.11748873634288004,0.0503648677398953,0.2975064834574177,0.48648829063403176,0.21600522590855048
Over 65,2015,0.17878772185800848,0.0872674980214214,0.2670186105114662,0.008448089983971223,0.18035128255464672,6.482555786502586e-4,4.872187998849718e-4,7.264536906936175e-4,1.8224466377881842e-4,6.434534572622745e-4,0.1720486819930475,0.03502097221011615,0.14388677527767113,0.28023352246888383,0.04365141648162104,6.41013214212635e-4,2.497062461003882e-4,6.058672445914253e-4,7.536446293117234e-4,3.671184550262859e-4,0.404618843686263,4.0024610171862196e-4,0.0723408812834886,0.17878772185800848,0.07353033730052236,0.14066572078282866,0.004899401357762953,0.08703134492270523,6.482555786502586e-4,4.522165457431796e-4,5.817592940545507e-4,1.3764839827867012e-4,4.694999092271356e-4,0.08987058923362766,0.025960200322713227,0.0819961157132579,0.1172528428228645,0.029861379095114896,4.89638898947173e-4,2.1340743621961215e-4,4.853877962920223e-4,5.638437661668757e-4,3.1322702760954384e-4,0.11293804184965855,0.21605383089233607,0.007525176898343637,0.1336747529790364,0.13803565630928788,0.03987325909426065,0.12594095291696128,0.1800931011046244,0.04586522795549106,0.36399398536940336,0.4549328256589559,0.18107318897164068
Under 18,2015,0.19100544429132632,0.20990935373104863,0.0687664825088411,0.048571249160721724,0.00987546577581675,6.467937144773003e-4,6.675626334448485e-4,4.148605979382814e-4,3.4840973579571645e-4,1.4535533960735036e-4,0.4862049969191903,0.03159054440928013,0.2004255942092906,0.11934399053911166,0.05573577370123344,7.891948244624422e-4,2.6367924308544235e-4,6.569596440823066e-4,5.403081527249105e-4,3.8389574755324097e-4,0.405249871245647,3.3818137513675625e-4,0.07740493170627759,0.19100544429132632,0.16067756003567685,0.059714854925639174,0.02314481257970067,0.003857301059468398,6.467937144773003e-4,6.094307628660517e-4,3.90439054661179e-4,2.458635437626905e-4,9.305694004569811e-5,0.17688790598136142,0.01992495372122573,0.1397801734766336,0.07654616277308719,0.036110660803705036,6.291283509933078e-4,2.1173716460357812e-4,5.782952252079246e-4,4.445187459223338e-4,3.165280997276735e-4,0.23064502264444764,0.08571784425576172,0.03322328158556338,0.0055369728667151695,0.2539142060132178,0.028601326788888718,0.20064781460214165,0.10987838900605756,0.05183514223720599,0.41562773725648133,0.517010681502351,0.06736158124116727
18 to 64,2016,0.12374922097362877,0.15962703246327503,0.08633421795979541,0.12480406639175179,0.04298097769849167,3.2119517282322224e-4,3.6758451818634985e-4,2.5272394015655184e-4,3.3131937506826025e-4,1.8657053063689095e-4,0.12212498583526024,0.043814353295819675,0.1713181343573164,0.08802112410106903,0.04265675658223596,3.156600684835976e-4,1.5684267392503522e-4,3.728041074112466e-4,2.881751897204887e-4,2.049204608755417e-4,0.39719928027212426,2.529404147320002e-4,0.04915310150496141,0.12374922097362877,0.08565040224866113,0.06046091168470252,0.054467285768927114,0.01957262438952486,3.2119517282322224e-4,2.8153563795150333e-4,2.186468800783437e-4,2.2626505131900275e-4,1.2716636679446867e-4,0.057736120627684934,0.021916572806158392,0.07718310852357135,0.04229734666616494,0.02309354082925746,2.2654145890384713e-4,1.1129470899705594e-4,2.713653392512319e-4,2.0712307374770112e-4,1.571725964593141e-4,0.19361364938490708,0.1366725368367644,0.12312388141735131,0.04424412654939031,0.13051311754029774,0.04954264698828862,0.1744732414534991,0.09561360405009356,0.05220319577940784,0.2783299173697991,0.5047594276751706,0.21691065495503023
