race,YEAR,headcount,inc_inc,inc_emp,inc_health,inc_dis,se_headcount,se_inc_inc,se_inc_emp,se_inc_health,se_inc_dis,inc_edu,inc_crowd,inc_house,inc_int,inc_lng,se_inc_edu,se_inc_crowd,se_inc_house,se_inc_int,se_inc_lng,intensity,int_se,adj_hc,mpi_poor,cen_inc,cen_emp,cen_health,cen_disability,se.mpi_poor,se_cen_inc,se_cen_emp,se_cen_health,se_cen_disability,cen_edu,cen_crowd,cen_house,cen_int,cen_lng,se_cen_edu,se_cen_crowd,se_cen_house,se_cen_int,se_cen_lng,per_con_inc,per_con_emp,per_con_hlth,per_con_dis,per_con_edu,per_con_crowd,per_con_hcost,per_con_int,per_con_lng,per_con_dim_edu,per_con_dim_inc,per_con_dim_hlth
Black,2013,0.2793288564622979,0.26499479733492176,0.1940510679169536,0.1793707135540223,0.06426239861263637,0.0010062185305392223,0.0010122947834611856,8.491386913959592e-4,8.869741271624963e-4,4.997490788774888e-4,0.2941095422380577,0.05967266117258233,0.26824040786134973,0.26023265871397366,0.012808548051050724,0.001033037386919046,4.1465890471458606e-4,0.001023273044986078,9.948759142512302e-4,2.578066510334045e-4,0.41286862208497704,3.88002563452359e-4,0.11532612007616126,0.2793288564622979,0.20849493048381826,0.16189593115195647,0.08839171730983529,0.03869515934651459,0.0010062185305392223,9.335960929042779e-4,7.945981244366381e-4,6.36559150103237e-4,3.8343441284905956e-4,0.16538060739473914,0.04024556023202553,0.18347614215267558,0.14392227151965953,0.007432761094227052,8.329317478990559e-4,3.3552707666996407e-4,8.992404093158916e-4,7.976240303119616e-4,1.993058800068141e-4,0.20087473134266584,0.15597886049389575,0.08516112322888392,0.03728090519973594,0.15933617667640826,0.038774641093590745,0.17677034485770352,0.13866211307224857,0.007161104034867444,0.3051593937835243,0.5336239366942651,0.1612166695222106
Chinese,2013,0.1982072505092089,0.15252574884095513,0.11840787759688445,0.13620518968553166,0.03222199971052516,0.002664351983609903,0.0024412225092399786,0.002045582518935863,0.0023312525790034747,0.0010782441856342665,0.18871010388481166,0.041369296853753484,0.2242281816424975,0.08244696262998404,0.2784149608359947,0.002537582075365759,0.0011335643148196767,0.0027805294750748574,0.0018583475549461932,0.0029072605663658197,0.40860154616542455,0.0014676059959491331,0.08098778901926039,0.1982072505092089,0.11921484935853292,0.09119912931142991,0.06696625785308316,0.019309373405563685,0.002664351983609903,0.002232448196544398,0.001880002257749675,0.0017343868991220948,8.540933487183215e-4,0.10047094915134548,0.018223438459778224,0.12836322462034727,0.05563738775100959,0.12950549126225316,0.0019907111062389,7.961231068958971e-4,0.0022952870473380445,0.0015775207212292872,0.0022888912741925054,0.16355668593471737,0.12512054857737884,0.09187428632283942,0.026491474331288192,0.13784101195723558,0.025001627036013694,0.17610778965678411,0.07633165502103313,0.1776749211627095,0.3918475881409782,0.46478502416888035,0.14336738769014132
Cuban,2013,0.2737443220126901,0.1944959588793122,0.140257175500602,0.24870553722408167,0.06134164904713541,0.004289560308279659,0.003891315453139807,0.0031368343829181024,0.004329829614260865,0.0021727598352147227,0.2539866130166836,0.034583292001496506,0.28299879302644215,0.18605217932495083,0.23149621920694233,0.004125742327417816,0.0014568368042136696,0.004454412616640207,0.0037651403950974324,0.00401280909039463,0.43165157818470185,0.002069917254170627,0.1181621686158789,0.2737443220126901,0.15987439821265192,0.11997931477940885,0.11204158796833168,0.039747547658335346,0.004289560308279659,0.0036145139069395133,0.0029713192075139856,0.0031927065153066294,0.0017210192087248244,0.1460231555636345,0.023526668979571078,0.1805057405515421,0.13295037812965926,0.14881072569977527,0.003352446000943402,0.0012604866832948533,0.003828185111501146,0.003306729352202586,0.003454570375939995,0.15033425868625136,0.11281982322807857,0.10535576213300554,0.03737570354362976,0.13730955730314626,0.022122768748103084,0.16973447279741774,0.12501686800155493,0.13993078555881258,0.40225721086351374,0.4328885547117477,0.1648542344247384
Japanese,2013,0.09205995878405335,0.07703977008515082,0.10386316915563212,0.06716268101855734,0.06553767498354665,0.0038554726792486916,0.00382463516563518,0.003961607992262473,0.0036859150561055773,0.003204014055665681,0.058487511974731725,0.027828387165628646,0.15668793531484967,0.11754930286097623,0.1320091884625842,0.0031832319599123643,0.0017294718883404197,0.005116612153907944,0.004441054438997031,0.004608061583504918,0.3923867006480382,0.0039025156374628126,0.036123103489069074,0.09205995878405335,0.050517486284644135,0.06251889911240874,0.020351326558875022,0.028256555292132633,0.0038554726792486916,0.0030590805072003165,0.00322705512861259,0.001956840794747894,0.002123662483379036,0.02300800178890422,0.011462708716080064,0.06190777487250246,0.03603219011173028,0.03105298866434414,0.0018991729841937304,0.0011246182627005128,0.0034002914589347857,0.002441631914949743,0.002228690615002356,0.15538681590095513,0.19230198058495254,0.06259867752575386,0.08691438307983305,0.07077034906441983,0.03525816385549702,0.19042222256960187,0.11083147051007489,0.09551593690891184,0.2771177564834066,0.5381110190555095,0.18477122446108393
Mexican,2013,0.3480694191014321,0.2562673170825369,0.0841208920825181,0.3083606176151638,0.030895216501954675,0.0011388788042752086,0.0010459511275227112,6.180322698183397e-4,0.0011187795606119556,3.7872580520846165e-4,0.523918328808749,0.07440426980576298,0.25307000581976,0.2699932583779705,0.17737021336594666,0.0011849891439221544,5.632756247223731e-4,0.0010485328228150884,0.0010732298787063767,9.307115070216752e-4,0.42676765159277413,4.322481135440161e-4,0.14854476858117924,0.3480694191014321,0.21730494044592097,0.07322536790766991,0.17218384311319626,0.01898523927726712,0.0011388788042752086,9.920109743008353e-4,5.828679056320312e-4,9.215216190075847e-4,2.977841999572182e-4,0.27983873313719765,0.053044281589866134,0.19393446602068082,0.19026867651092694,0.13811736922788737,0.001074699691775146,4.8359625837827134e-4,9.576595461766721e-4,9.550225638489686e-4,8.461957421632442e-4,0.1625435457168924,0.054772389949866995,0.1287930790590794,0.014200910950658207,0.20931866445237624,0.03967698843813361,0.14506248996929033,0.14232048868968541,0.10331144277401737,0.454950595916079,0.3623784256360497,0.18267097844787122
Native,2013,0.306016526733659,0.2850304194530745,0.20713432511673363,0.28244205120615945,0.06988786460340356,0.0038207798464592376,0.003765471061435434,0.003266455202481782,0.003819419355467602,0.0019860733271254475,0.3215188681330403,0.07016558445614476,0.19694373626415868,0.33678192841362387,0.012622319258670578,0.003848767659725018,0.0018245274432121589,0.0035674204416592135,0.0038744409481202176,7.373986838474986e-4,0.4187350445601452,0.0014190147203000554,0.12813984395795955,0.306016526733659,0.2279580287464072,0.1666223019612403,0.13557581703931418,0.04165989984787871,0.0038207798464592376,0.003511331771255128,0.002990421446472726,0.0028810130324714227,0.00152819464344418,0.18195214954205052,0.04940338280078069,0.14979766811420533,0.19161420580290348,0.008675141766855625,0.0031141496549790377,0.0015174118803898354,0.0032186269820603398,0.0032400807363217477,5.40983051430281e-4,0.1976642789499713,0.14447956650297206,0.11755890444175301,0.03612364131170682,0.15777220324464494,0.04283807897755229,0.12989078831314546,0.1661502515830966,0.007522286675157622,0.33144474150289915,0.4720346337660888,0.19652062473101212
Other,2013,0.21220118533657714,0.20446821576063265,0.09601445029352158,0.2004431340011594,0.034386635978543315,0.007330152130083446,0.007268696854520254,0.004992842805660115,0.007000207279575032,0.002796806405763475,0.2805306982798088,0.03686168625300201,0.27445088728364797,0.15675162151731206,0.07085925182855277,0.0077370362591833095,0.002600683451577094,0.007787811428528084,0.006469025337344258,0.004556126770325722,0.4082653850999874,0.0035901260973790513,0.08663439865011147,0.21220118533657714,0.1547234553201862,0.07960786703479915,0.08379701462685961,0.019347267991381076,0.007330152130083446,0.006690294299628592,0.004741587176182556,0.005039734635242548,0.002099095290395684,0.13401990977941738,0.016994095192558598,0.15447345024195805,0.0913487305210887,0.045397797142754465,0.006071904620449182,0.0017607681626172502,0.006553019355422999,0.005349233908316419,0.0037182168713598748,0.1984372870758551,0.10209938196888202,0.10747208439210909,0.02481342834927175,0.17188439371227485,0.021795416469607455,0.19811664836354018,0.11715737749597196,0.058223982172487594,0.3472657533807344,0.49865331740827723,0.1540809292109883
Other Asian or Pacific Islander,2013,0.13769456672207367,0.12152864290497699,0.067276470631888,0.15409830248502396,0.0355248227307277,0.0013420727680087047,0.0012900758131907982,9.339407859788742e-4,0.0014449108360746696,6.858705366946698e-4,0.16353111161133885,0.046627348083758596,0.18906237351846272,0.07888959222160456,0.15078181530183393,0.0014175403090417365,7.43116350395176e-4,0.0015392563724908246,0.0010599158678713783,0.0013639752826470287,0.40321133315175817,0.0010392728796022978,0.05552000981576104,0.13769456672207367,0.08847295302813167,0.050016168312172364,0.05384640777293633,0.01592947664568127,0.0013420727680087047,0.001128666811136943,8.354173812896001e-4,9.000934849602461e-4,4.6450293642986805e-4,0.07144355348367631,0.019253981878695606,0.09084450450968388,0.045111424876545486,0.06476161783432645,9.918291815000924e-4,4.95016194836887e-4,0.001141638218568409,8.390979506923069e-4,9.532717021260071e-4,0.1770591926560902,0.1000963806225444,0.10776176403510808,0.03187935044308456,0.14297858800168795,0.03853261782471359,0.18180533231000762,0.09028061339455079,0.12960616071221284,0.36286536210845155,0.4589609055886422,0.17817373230290623
Other Hispanic,2013,0.2997553480792555,0.20559755838539998,0.08306482237133206,0.2864976727963668,0.03249098737650186,0.0018669365262365802,0.0016478338167260364,0.0010359385169567547,0.0018686180437192442,6.642812261700729e-4,0.37987422859364944,0.06105307461447708,0.29565397196210286,0.19682735447838318,0.2098920228678543,0.0019678576283908705,9.01169204177016e-4,0.001870117020572538,0.0016448490628407056,0.0016750156373268657,0.42579963706965446,8.042718269445824e-4,0.12763571842183494,0.2997553480792555,0.17012470005107472,0.06853936310006385,0.15428159599836178,0.01942020859572372,0.0018669365262365802,0.0015387277822006293,9.595977684425932e-4,0.001510446032934559,5.156812383336756e-4,0.2117081126361833,0.03973986679184007,0.19603634395571906,0.14049614585031514,0.14837512881723275,0.00167208480447424,7.355836423981812e-4,0.0016366696607907137,0.0014425836138664922,0.0014790007734344988,0.14809917383507026,0.05966578073174527,0.13430722815942514,0.0169059333998411,0.1842989087780183,0.034594867402677774,0.17065611620636775,0.12230653821106774,0.12916545327578657,0.43577090026487264,0.3784210707731833,0.185808028961944
Puerto Rican,2013,0.27850078124984745,0.26035114559556854,0.1885751459266943,0.1438112770579632,0.06061378143083425,0.0028163407725016734,0.002793383136370135,0.0024225445627507575,0.0023203815804611226,0.0014079618700335935,0.3525259370458857,0.04861105823381501,0.2864790378453709,0.19156054925485966,0.0851735120475306,0.003013504317148225,0.0010815964609912005,0.0028911915084311136,0.002536572689761998,0.0017521185409603405,0.42366517369233886,0.0012181208434596533,0.11799108186166869,0.27850078124984745,0.20662462384718547,0.15879647499444055,0.06539167628708056,0.040513119979788834,0.0028163407725016734,0.0025741846404086755,0.002260387705359749,0.0015984782129661304,0.001143050312341905,0.18669674912986747,0.029067219115640402,0.19029286082311694,0.12434494792090701,0.060192064656991,0.0024254129588258465,8.120004792901834e-4,0.002509218463997949,0.0021008085801221053,0.0014823426441307281,0.19457649829410142,0.14953717263009533,0.061578737096367034,0.038150830592515006,0.17581060288075034,0.027372331551594582,0.1791970280207881,0.11709448804565634,0.056682310888131776,0.3495874018145385,0.5233106989449848,0.12710189924047663
